day,date_placeholder,focus,niche_research_target,design_target,qc_target,listing_target,content_target,analytics_task,completion_status
1,DAY_01,"Foundation, schema, audit, niche scoring",20 candidates / 5 selected,3 briefs,audit checklist,2 draft listings,2 draft posts,baseline score setup,TODO
2,DAY_02,"Foundation, schema, audit, niche scoring",20 candidates / 5 selected,3 briefs,audit checklist,2 draft listings,2 draft posts,baseline score setup,TODO
3,DAY_03,"Foundation, schema, audit, niche scoring",20 candidates / 5 selected,3 briefs,audit checklist,2 draft listings,2 draft posts,baseline score setup,TODO
4,DAY_04,"Foundation, schema, audit, niche scoring",20 candidates / 5 selected,3 briefs,audit checklist,2 draft listings,2 draft posts,baseline score setup,TODO
5,DAY_05,"Foundation, schema, audit, niche scoring",20 candidates / 5 selected,3 briefs,audit checklist,2 draft listings,2 draft posts,baseline score setup,TODO
6,DAY_06,"Foundation, schema, audit, niche scoring",20 candidates / 5 selected,3 briefs,audit checklist,2 draft listings,2 draft posts,baseline score setup,TODO
7,DAY_07,"Foundation, schema, audit, niche scoring",20 candidates / 5 selected,3 briefs,audit checklist,2 draft listings,2 draft posts,baseline score setup,TODO
8,DAY_08,"Production, design briefs, QC, listing drafts",10 candidates / 3 selected,5 briefs or drafts,5 reviews,5 draft listings,3 draft posts,QC and listing velocity,TODO
9,DAY_09,"Production, design briefs, QC, listing drafts",10 candidates / 3 selected,5 briefs or drafts,5 reviews,5 draft listings,3 draft posts,QC and listing velocity,TODO
10,DAY_10,"Production, design briefs, QC, listing drafts",10 candidates / 3 selected,5 briefs or drafts,5 reviews,5 draft listings,3 draft posts,QC and listing velocity,TODO
11,DAY_11,"Production, design briefs, QC, listing drafts",10 candidates / 3 selected,5 briefs or drafts,5 reviews,5 draft listings,3 draft posts,QC and listing velocity,TODO
12,DAY_12,"Production, design briefs, QC, listing drafts",10 candidates / 3 selected,5 briefs or drafts,5 reviews,5 draft listings,3 draft posts,QC and listing velocity,TODO
13,DAY_13,"Production, design briefs, QC, listing drafts",10 candidates / 3 selected,5 briefs or drafts,5 reviews,5 draft listings,3 draft posts,QC and listing velocity,TODO
14,DAY_14,"Production, design briefs, QC, listing drafts",10 candidates / 3 selected,5 briefs or drafts,5 reviews,5 draft listings,3 draft posts,QC and listing velocity,TODO
15,DAY_15,"Publishing-prep, traffic content, collection expansion",5 expansion candidates,4 collection variants,4 reviews,4 owner-ready listings,5 draft posts,traffic source tagging,TODO
16,DAY_16,"Publishing-prep, traffic content, collection expansion",5 expansion candidates,4 collection variants,4 reviews,4 owner-ready listings,5 draft posts,traffic source tagging,TODO
17,DAY_17,"Publishing-prep, traffic content, collection expansion",5 expansion candidates,4 collection variants,4 reviews,4 owner-ready listings,5 draft posts,traffic source tagging,TODO
18,DAY_18,"Publishing-prep, traffic content, collection expansion",5 expansion candidates,4 collection variants,4 reviews,4 owner-ready listings,5 draft posts,traffic source tagging,TODO
19,DAY_19,"Publishing-prep, traffic content, collection expansion",5 expansion candidates,4 collection variants,4 reviews,4 owner-ready listings,5 draft posts,traffic source tagging,TODO
20,DAY_20,"Publishing-prep, traffic content, collection expansion",5 expansion candidates,4 collection variants,4 reviews,4 owner-ready listings,5 draft posts,traffic source tagging,TODO
21,DAY_21,"Publishing-prep, traffic content, collection expansion",5 expansion candidates,4 collection variants,4 reviews,4 owner-ready listings,5 draft posts,traffic source tagging,TODO
22,DAY_22,"Analytics, iteration, retire/scale decisions",review prior winners,2 iterations,recheck winners and retirees,refresh winners,2 performance posts,winner loser decision review,TODO
23,DAY_23,"Analytics, iteration, retire/scale decisions",review prior winners,2 iterations,recheck winners and retirees,refresh winners,2 performance posts,winner loser decision review,TODO
24,DAY_24,"Analytics, iteration, retire/scale decisions",review prior winners,2 iterations,recheck winners and retirees,refresh winners,2 performance posts,winner loser decision review,TODO
25,DAY_25,"Analytics, iteration, retire/scale decisions",review prior winners,2 iterations,recheck winners and retirees,refresh winners,2 performance posts,winner loser decision review,TODO
26,DAY_26,"Analytics, iteration, retire/scale decisions",review prior winners,2 iterations,recheck winners and retirees,refresh winners,2 performance posts,winner loser decision review,TODO
27,DAY_27,"Analytics, iteration, retire/scale decisions",review prior winners,2 iterations,recheck winners and retirees,refresh winners,2 performance posts,winner loser decision review,TODO
28,DAY_28,"Analytics, iteration, retire/scale decisions",review prior winners,2 iterations,recheck winners and retirees,refresh winners,2 performance posts,winner loser decision review,TODO
29,DAY_29,"Analytics, iteration, retire/scale decisions",review prior winners,2 iterations,recheck winners and retirees,refresh winners,2 performance posts,winner loser decision review,TODO
30,DAY_30,"Analytics, iteration, retire/scale decisions",review prior winners,2 iterations,recheck winners and retirees,refresh winners,2 performance posts,winner loser decision review,TODO
